Ï„,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,,,,
0.005,-0.0005621872187201448,-1.611237376822576e-05,-0.00024934919685874003,1.6496884701693657e-06,0.019412152960615874,-0.0029670542621986445,-0.000972539142632219,-0.003357726759579042,-0.00603572238022006,0.0011354055184593398,0.036452312353691646,-0.0014572020885717976,-0.0013875798588250839,-0.0038005881553343076,-0.0004637514688052169,-3.4604084539680096e-05,-0.0003690707502733013,-0.0036191317583921605
0.01,-0.0007765475873267879,0.0001379941718591054,-5.152450594391874e-05,0.00016836291852519668,0.01812844830360153,-0.001875263725094993,-0.0019706091730682723,0.0029474723558883813,-0.0026624899032055,4.5920153197041974e-05,0.025828977167162686,-0.0009869218714538082,-0.0009278245120293543,-0.002106907953932031,-0.00012185978881346543,0.000603578797996241,0.00010165860562387957,-0.004444591718621723
0.015,-0.0006772430780117545,0.00028690504832316806,0.00024173513544486423,0.00020365181790022008,0.020292004325095068,-0.00804679625750098,0.00035860391715974543,0.0047400986509537795,-0.0002746186698271211,0.0019588999226066908,0.023445999134080086,-0.0022710702824427407,-0.0013458421261420973,-0.00216769842053048,0.0011335003589290314,0.0006685260846782549,0.0010930480182430823,-0.0014119342982048756
0.02,-0.00045894083504009503,0.00035345214046954586,0.00035051529432664273,0.0001830730830437987,0.02207431425582711,-0.00946596255894926,0.0007586830298552534,0.009155420732861656,0.001273571789637835,0.002844881658460855,0.023394133007133576,0.001637888154549906,0.0009397701825661581,-0.0011705899117550199,0.0021484459170514687,0.002144983311787655,0.0017006658827097537,0.0027112490315155256
0.025,-0.0003124451649082778,0.0004390042659515677,0.0009119059279451458,0.00020316722226527146,0.02239703044642567,-0.008513952781015474,-0.0006995188169513359,0.012289604604451143,0.0027764253766874324,0.0011135566611658637,0.02530108812567216,0.004185281277024476,0.001617241642959547,-0.0009606309817932164,0.0022136888612009973,0.0022118992145219963,0.0017190883539902975,0.006090654844040052
0.03,-0.00020765754167025878,0.0006912274463915715,0.0011114902256361974,0.00036489972920462655,0.024199566429337377,-0.012198493391345724,-0.0003444910092521716,0.015254689113545725,0.006983400538596039,0.003401598947107859,0.025986389199410837,0.005145703378600472,0.002739679110588569,0.0008673294887272528,0.0034828003195598325,0.0027351698211669166,0.0020150706142647323,0.006187098858856485
0.035,-0.0002566820207254722,0.000741187169631232,0.0011465761720472682,0.0003540115202533118,0.02472458247741141,-0.012261349990803142,-0.00017977941554322242,0.015024396797744661,0.007918898210492168,0.003436179462273362,0.02589201948476753,0.005180338485502535,0.0028282529710129353,0.000972645670658575,0.0035777915444297533,0.0028785964546209713,0.0020806091208559643,0.006752875396085715
0.04,-0.0003089287847864267,0.0006941710407340107,0.0010953874669144131,0.0002805472365256773,0.02539998185028173,-0.012493697122055402,-0.0002591438033332556,0.015468183385542828,0.008346662261861563,0.0034792156189975484,0.026238803661083047,0.005197391855907088,0.0028532072804367385,0.0010085961714918852,0.003517548493568963,0.0028224967820701585,0.0020026872873241115,0.0066395735786740715
0.045,-0.0003089287847864267,0.0006941710407340107,0.0010953874669144131,0.0002805472365256773,0.02539998185028173,-0.012493697122055402,-0.0002591438033332556,0.015468183385542828,0.008346662261861563,0.0034792156189975484,0.026238803661083047,0.005197391855907088,0.0028532072804367385,0.0010085961714918852,0.003517548493568963,0.0028224967820701585,0.0020026872873241115,0.0066395735786740715
0.05,-0.00026604265106362296,0.0007079000224946234,0.0011154407640841782,0.00031607291502780996,0.025341223217776376,-0.012446323386852776,-0.0002367415709193754,0.015366349464792631,0.00835087151288344,0.0035048047608543173,0.026229786057010256,0.005189991754134349,0.00285721183522538,0.001018050094401487,0.0035848760813819804,0.0028918776984252705,0.0020534947321427257,0.006650920929333379
0.055,-0.00026604265106362296,0.0007079000224946234,0.0011154407640841782,0.00031607291502780996,0.025341223217776376,-0.012446323386852776,-0.0002367415709193754,0.015366349464792631,0.00835087151288344,0.0035048047608543173,0.026229786057010256,0.005189991754134349,0.00285721183522538,0.001018050094401487,0.0035848760813819804,0.0028918776984252705,0.0020534947321427257,0.006650920929333379
0.06,-0.00024214970258451844,0.0007590105950886578,0.001183648740620009,0.00033324908797825454,0.0252607079877239,-0.013112195834806488,-0.0001861983458402483,0.016335198439299665,0.008654624596680595,0.003435328431857258,0.025457915010940586,0.005881160412283461,0.0035533275502367774,0.0011083349172226111,0.0036735773689153396,0.002982620218309018,0.0021467067158446847,0.006197025755091337
0.065,-0.0002417723840832548,0.0007498488720554488,0.001172690907132303,0.0003229557781925526,0.025255434485980957,-0.01309787102018344,-0.0001721786831856998,0.016305498065199764,0.008644017757823575,0.0034060685882966245,0.025291097918462218,0.005867286791271001,0.0035419547478615656,0.0011005576922488906,0.003658606256694017,0.002968665219544469,0.0021456703444594815,0.006183027157828511
0.07,-0.00021293740938173306,0.0006632570552580819,0.0010891105052430728,0.00036660393296472513,0.025746020103263916,-0.013100065694066004,5.319057960198579e-05,0.01679618525008772,0.008775555552088872,0.0032601808888760592,0.025597286507201753,0.0057043981581899866,0.0034616119197791936,0.001027374386323741,0.0037034201128839095,0.0031666658426528394,0.0028326585826743255,0.0056460737605777975
0.075,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.08,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.085,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.09,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.095,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.1,-0.0002446656632646656,0.0006386085390111639,0.0010704558676351975,0.00035413969712887937,0.02575829113490362,-0.013556876888953547,0.00012423734249487753,0.016364831637465518,0.008713096421622378,0.0031988473013984907,0.02549311584388713,0.005686420635242472,0.0034498005996655926,0.001019127103594408,0.003697512512652015,0.003161544119829776,0.002828025889514481,0.005607984012638379
0.105,-0.00022645806480998487,0.0006605105100683467,0.0011006711680399597,0.0003704732915384248,0.025778605545887436,-0.01351266322683856,0.00017876905260888004,0.01677296027979845,0.008730401994830644,0.0032697886750399736,0.025449713280678483,0.005704427625877653,0.0034710775026334894,0.00043717757850471366,0.0036971895340328384,0.003236019447442749,0.0029029888168793762,0.005614887933933056
0.11,-0.00022645806480998487,0.0006605105100683467,0.0011006711680399597,0.0003704732915384248,0.025778605545887436,-0.01351266322683856,0.00017876905260888004,0.01677296027979845,0.008730401994830644,0.0032697886750399736,0.025449713280678483,0.005704427625877653,0.0034710775026334894,0.00043717757850471366,0.0036971895340328384,0.003236019447442749,0.0029029888168793762,0.005614887933933056
0.115,-0.00022645806480998487,0.0006605105100683467,0.0011006711680399597,0.0003704732915384248,0.025778605545887436,-0.01351266322683856,0.00017876905260888004,0.01677296027979845,0.008730401994830644,0.0032697886750399736,0.025449713280678483,0.005704427625877653,0.0034710775026334894,0.00043717757850471366,0.0036971895340328384,0.003236019447442749,0.0029029888168793762,0.005614887933933056
0.12,-0.00022645806480998487,0.0006605105100683467,0.0011006711680399597,0.0003704732915384248,0.025778605545887436,-0.01351266322683856,0.00017876905260888004,0.01677296027979845,0.008730401994830644,0.0032697886750399736,0.025449713280678483,0.005704427625877653,0.0034710775026334894,0.00043717757850471366,0.0036971895340328384,0.003236019447442749,0.0029029888168793762,0.005614887933933056
0.125,-0.00022645806480998487,0.0006605105100683467,0.0011006711680399597,0.0003704732915384248,0.025778605545887436,-0.01351266322683856,0.00017876905260888004,0.01677296027979845,0.008730401994830644,0.0032697886750399736,0.025449713280678483,0.005704427625877653,0.0034710775026334894,0.00043717757850471366,0.0036971895340328384,0.003236019447442749,0.0029029888168793762,0.005614887933933056
0.13,-0.00022645806480998487,0.0006605105100683467,0.0011006711680399597,0.0003704732915384248,0.025778605545887436,-0.01351266322683856,0.00017876905260888004,0.01677296027979845,0.008730401994830644,0.0032697886750399736,0.025449713280678483,0.005704427625877653,0.0034710775026334894,0.00043717757850471366,0.0036971895340328384,0.003236019447442749,0.0029029888168793762,0.005614887933933056
0.135,-0.00022645806480998487,0.0006605105100683467,0.0011006711680399597,0.0003704732915384248,0.025778605545887436,-0.01351266322683856,0.00017876905260888004,0.01677296027979845,0.008730401994830644,0.0032697886750399736,0.025449713280678483,0.005704427625877653,0.0034710775026334894,0.00043717757850471366,0.0036971895340328384,0.003236019447442749,0.0029029888168793762,0.005614887933933056
0.14,-0.00022645806480998487,0.0006605105100683467,0.0011006711680399597,0.0003704732915384248,0.025778605545887436,-0.01351266322683856,0.00017876905260888004,0.01677296027979845,0.008730401994830644,0.0032697886750399736,0.025449713280678483,0.005704427625877653,0.0034710775026334894,0.00043717757850471366,0.0036971895340328384,0.003236019447442749,0.0029029888168793762,0.005614887933933056
0.145,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.15,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.155,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.16,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.165,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.17,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.175,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.18,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.185,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.19,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.195,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.2,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.205,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.21,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.215,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.22,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.225,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.23,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.235,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.24,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
0.245,-0.00017581886771232346,0.0007114513880989946,0.0011502327681932485,0.0003764200767331108,0.02580152696405357,-0.013468946354305825,0.00021117455360935222,0.01612590083426251,0.008774956671921881,0.0032565047812924144,0.025446447026487937,0.00571523872224954,0.0034841654452365746,0.00045469457209192825,0.003699533817748105,0.0032390369721603373,0.0029064925176999763,0.005639357494960791
