Estimator,swing 8ths,swing 16ths,sudden change,rubato,rallantando,none,div by 6,div by 4,div by 3 (triplet),div by 2,Rock/Pop,Rock,Jazz,Folk2,Folk,Dance,Country,ClassicalSolo,Classical,Choral,BigBand
boeck2015/tempodetector2016_default,0.9444444444444444,1.0,0.5,0.8076923076923077,0.5555555555555556,0.8888888888888888,1.0,1.0,0.625,0.9252336448598131,0.9264705882352942,0.8333333333333334,0.975,1.0,0.8636363636363636,1.0,1.0,0.8636363636363636,0.9333333333333333,0.8275862068965517,1.0
boeck2019/multi_task,0.9444444444444444,0.9166666666666666,0.5,0.7692307692307693,0.5555555555555556,0.7777777777777778,1.0,1.0,0.75,0.9158878504672897,0.9264705882352942,0.8333333333333334,0.975,1.0,0.8636363636363636,1.0,1.0,0.7727272727272727,0.9333333333333333,0.7931034482758621,1.0
boeck2019/multi_task_hjdb,0.9166666666666666,0.9166666666666666,0.5,0.8076923076923077,0.5555555555555556,0.7777777777777778,1.0,1.0,0.625,0.9345794392523364,0.9264705882352942,0.8333333333333334,0.975,1.0,0.8181818181818182,1.0,1.0,0.7727272727272727,0.9666666666666667,0.7931034482758621,1.0
boeck2020/dar,0.9444444444444444,1.0,0.5,0.8076923076923077,0.6666666666666666,0.8888888888888888,1.0,1.0,0.625,0.9345794392523364,0.9411764705882353,0.8666666666666667,0.975,1.0,0.8636363636363636,1.0,1.0,0.8636363636363636,0.9333333333333333,0.8620689655172413,1.0
davies2009/mirex_qm_tempotracker,1.0,1.0,0.75,0.2692307692307692,0.4444444444444444,0.1111111111111111,1.0,0.9795918367346939,0.625,0.8130841121495327,0.9117647058823529,0.8333333333333334,1.0,1.0,0.9090909090909091,1.0,0.9736842105263158,0.22727272727272727,0.7666666666666667,0.27586206896551724,1.0
echonest/version_3_2_1,0.9166666666666666,1.0,0.5,0.46153846153846156,0.5555555555555556,0.1111111111111111,1.0,0.9795918367346939,0.875,0.8691588785046729,0.9117647058823529,0.8333333333333334,0.925,1.0,0.9545454545454546,1.0,0.9736842105263158,0.36363636363636365,0.9,0.4482758620689655,1.0
gkiokas2012/default,0.9444444444444444,1.0,0.25,0.5,0.4444444444444444,0.2222222222222222,1.0,0.9591836734693877,0.75,0.8691588785046729,0.8970588235294118,0.8,0.95,1.0,0.9545454545454546,1.0,0.9736842105263158,0.5,0.8,0.5172413793103449,1.0
klapuri2006/percival2014,0.9166666666666666,1.0,0.25,0.5,0.4444444444444444,0.1111111111111111,1.0,0.9387755102040817,0.625,0.8598130841121495,0.8970588235294118,0.8333333333333334,0.95,1.0,0.8636363636363636,0.975,0.9473684210526315,0.4090909090909091,0.8,0.4482758620689655,1.0
oliveira2010/ibt,0.9444444444444444,0.9166666666666666,0.5,0.2692307692307692,0.5555555555555556,0.0,1.0,0.9795918367346939,0.625,0.8130841121495327,0.8970588235294118,0.8,0.975,1.0,0.8181818181818182,1.0,0.9736842105263158,0.13636363636363635,0.8333333333333334,0.27586206896551724,1.0
percival2014/stem,0.9444444444444444,1.0,0.75,0.38461538461538464,0.5555555555555556,0.1111111111111111,1.0,1.0,0.75,0.8878504672897196,0.9558823529411765,0.9,0.975,1.0,0.9090909090909091,1.0,1.0,0.2727272727272727,0.9333333333333333,0.3793103448275862,1.0
scheirer1998/percival2014,0.75,0.8333333333333334,0.5,0.34615384615384615,0.4444444444444444,0.2222222222222222,1.0,0.6938775510204082,0.5,0.7009345794392523,0.75,0.7333333333333333,0.725,0.25,0.5454545454545454,0.85,0.7631578947368421,0.2727272727272727,0.7,0.3793103448275862,1.0
schreiber2014/default,0.9166666666666666,1.0,0.5,0.5384615384615384,0.5555555555555556,0.5555555555555556,1.0,1.0,0.375,0.8691588785046729,0.8823529411764706,0.8,0.95,1.0,0.8636363636363636,1.0,0.9473684210526315,0.6363636363636364,0.8333333333333334,0.6896551724137931,0.8888888888888888
schreiber2017/ismir2017,0.9444444444444444,0.9166666666666666,0.25,0.6153846153846154,0.5555555555555556,0.4444444444444444,1.0,0.9795918367346939,0.625,0.8878504672897196,0.9117647058823529,0.8333333333333334,0.975,1.0,0.8181818181818182,1.0,0.9736842105263158,0.6363636363636364,0.8333333333333334,0.6551724137931034,1.0
schreiber2017/mirex2017,0.9444444444444444,0.9166666666666666,0.25,0.5769230769230769,0.5555555555555556,0.4444444444444444,1.0,1.0,0.625,0.8785046728971962,0.9117647058823529,0.8333333333333334,0.975,1.0,0.8636363636363636,1.0,0.9736842105263158,0.5909090909090909,0.8333333333333334,0.6206896551724138,1.0
schreiber2018/cnn,0.9444444444444444,1.0,0.25,0.34615384615384615,0.4444444444444444,0.2222222222222222,1.0,1.0,0.75,0.8317757009345794,0.9117647058823529,0.8333333333333334,0.975,1.0,0.9545454545454546,1.0,0.9736842105263158,0.22727272727272727,0.8666666666666667,0.3448275862068966,1.0
schreiber2018/fcn,0.9166666666666666,1.0,0.25,0.5384615384615384,0.4444444444444444,0.4444444444444444,1.0,0.9795918367346939,1.0,0.8598130841121495,0.9117647058823529,0.8,0.95,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,0.5517241379310345,0.8888888888888888
schreiber2018/ismir2018,0.9444444444444444,1.0,0.5,0.3076923076923077,0.6666666666666666,0.3333333333333333,1.0,1.0,0.625,0.8411214953271028,0.9264705882352942,0.8666666666666667,0.975,1.0,0.9090909090909091,1.0,0.9736842105263158,0.36363636363636365,0.8,0.4482758620689655,1.0
sun2021/default,0.9722222222222222,1.0,0.5,0.7307692307692307,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5,0.9252336448598131,0.9264705882352942,0.8333333333333334,1.0,1.0,0.8636363636363636,1.0,1.0,0.8181818181818182,0.8666666666666667,0.7931034482758621,1.0
zplane/auftakt_v3,0.9444444444444444,1.0,0.5,0.2692307692307692,0.4444444444444444,0.0,1.0,0.9387755102040817,0.75,0.822429906542056,0.9264705882352942,0.8333333333333334,0.95,0.75,0.8181818181818182,1.0,1.0,0.22727272727272727,0.7666666666666667,0.3448275862068966,1.0
